GENDER,RACE,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,ANNUAL_MILEAGE,VEHICLE_TYPE,PAST_ACCIDENTS_occurred,PAST_ACCIDENTS_log_magnitude,SPEEDING_VIOLATIONS_occurred,SPEEDING_VIOLATIONS_log_magnitude,DUIS_occurred,DUIS_log_magnitude,AGE_26-39,AGE_40-64,AGE_65+,DRIVING_EXPERIENCE_10-19y,DRIVING_EXPERIENCE_20-29y,DRIVING_EXPERIENCE_30y+,EDUCATION_none,EDUCATION_university,INCOME_poverty,INCOME_upper class,INCOME_working class,POSTAL_CODE_21217,POSTAL_CODE_32765,POSTAL_CODE_92101
1,0,-1.6114568777671,0.0,1,0.0,1.0,-0.6048491151255841,0,0,-0.7851326745135231,0,-0.8717328479095953,0,-0.4636186520506451,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,0.29617432332642846,0.0,1,1.0,1.0,0.11284348306799238,0,1,0.32141072044370017,0,-0.8717328479095953,1,1.6903023895824918,0,0,1,1,0,0,0,1,0,1,0,0,1,0
0,0,0.607024306771626,1.0,1,0.0,0.0,-0.6048491151255841,0,1,0.32141072044370017,1,2.583291381242292,0,-0.4636186520506451,0,0,1,0,0,1,0,0,0,1,0,0,1,0
1,0,0.8634943189707426,1.0,0,0.0,1.0,-0.9636954142223725,0,1,0.32141072044370017,1,0.6557821096909887,0,-0.4636186520506451,0,0,1,1,0,0,0,0,0,0,0,0,1,0
0,0,-1.3062488669572776,0.0,0,1.0,1.0,-1.681388012415949,0,0,-0.7851326745135231,0,-0.8717328479095953,0,-0.4636186520506451,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,-0.9923578034542875,0.0,1,0.0,0.0,1.9070749785519339,0,0,-0.7851326745135231,0,-0.8717328479095953,0,-0.4636186520506451,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0,-0.34310841466569864,1.0,0,0.0,1.0,-1.3225417133191608,0,0,-0.7851326745135231,1,1.366036117475827,0,-0.4636186520506451,0,1,0,0,1,0,0,0,0,0,1,0,0,0
0,1,-0.6167987240535265,0.0,0,1.0,1.0,-0.6048491151255841,0,1,2.5344975103581464,1,0.6557821096909887,0,-0.4636186520506451,0,1,0,0,1,0,1,0,1,0,0,0,0,0
0,0,-0.5327848139586068,1.0,1,0.0,1.0,-1.3225417133191608,0,1,0.9686971119143556,1,2.0195310594173597,0,-0.4636186520506451,1,0,0,1,0,0,0,1,0,0,0,0,1,0
1,0,0.30279703495830057,1.0,0,0.0,0.0,0.830536081261569,0,0,-0.7851326745135231,1,0.09202178786605632,0,-0.4636186520506451,0,1,0,1,0,0,0,1,0,1,0,0,0,0
0,0,1.4546299026437945,1.0,0,0.0,1.0,-0.6048491151255841,0,1,1.4279541154009234,1,0.6557821096909887,1,1.6903023895824918,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,0,0.7413503458992569,1.0,0,1.0,0.0,1.1893823803583572,0,1,0.32141072044370017,1,0.6557821096909887,0,-0.4636186520506451,0,1,0,0,1,0,0,1,0,1,0,0,0,0
1,0,0.45507849857165683,1.0,0,0.0,1.0,0.4716897821647807,0,0,-0.7851326745135231,0,-0.8717328479095953,0,-0.4636186520506451,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0,-2.073784776040763,1.0,0,0.0,1.0,0.11284348306799238,0,0,-0.7851326745135231,0,-0.8717328479095953,0,-0.4636186520506451,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,-0.9074184011572503,1.0,0,0.0,1.0,0.11284348306799238,0,0,-0.7851326745135231,1,1.055776423641708,0,-0.4636186520506451,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,-0.3408006266501285,1.0,0,1.0,1.0,0.11284348306799238,0,1,2.075240506871579,1,1.055776423641708,0,-0.4636186520506451,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0,0,-1.8940621522038155,0.0,0,0.0,0.0,0.830536081261569,0,0,-0.7851326745135231,0,-0.8717328479095953,0,-0.4636186520506451,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,-2.085565574006881,0.0,0,0.0,1.0,-0.9636954142223725,1,0,-0.7851326745135231,0,-0.8717328479095953,0,-0.4636186520506451,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,-0.07231661381433205,0.0,0,1.0,1.0,-2.757926909706314,0,0,-0.7851326745135231,0,-0.8717328479095953,0,-0.4636186520506451,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-0.6881223627714668,1.0,0,0.0,1.0,-0.6048491151255841,0,1,1.7841815224496964,1,1.6195367454666403,0,-0.4636186520506451,0,1,0,0,1,0,1,0,0,0,1,0,0,0
0,0,-0.15448733060609735,1.0,0,1.0,1.0,-0.6048491151255841,0,1,0.32141072044370017,0,-0.8717328479095953,1,1.6903023895824918,0,0,1,1,0,0,0,1,0,1,0,0,0,0
