ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
569520,4,1,1,1,2,4,0.629027313918201,1.0,1,0.0,1.0,10238,12000.0,0,0,0,0,0.0
750365,1,0,1,1,1,1,0.3577571170184627,0.0,0,0.0,0.0,10238,16000.0,0,0,0,0,1.0
199901,1,1,1,1,2,2,0.4931457852181982,1.0,0,0.0,0.0,10238,11000.0,0,0,0,0,0.0
478866,1,0,1,1,3,2,0.2060128507324556,1.0,0,0.0,1.0,32765,11000.0,0,0,0,0,0.0
731664,2,0,1,2,1,2,0.3883658881572184,1.0,0,0.0,0.0,32765,12000.0,0,2,0,1,1.0
877557,3,1,1,3,2,4,0.6191273725847388,1.0,1,0.0,1.0,10238,13000.0,0,3,0,3,0.0
930134,4,0,1,4,2,4,0.4929435502195342,0.0,1,1.0,1.0,10238,13000.0,0,7,0,3,0.0
461006,2,1,1,1,3,2,0.468689297434465,0.0,1,0.0,1.0,10238,14000.0,0,0,0,0,1.0
68366,3,1,1,3,3,2,0.5218149362971065,0.0,0,1.0,0.0,10238,13000.0,0,0,0,0,0.0
445911,3,1,1,1,2,4,0.5615310319383646,1.0,0,0.0,1.0,32765,11000.0,0,0,0,0,1.0
275820,4,0,1,4,2,4,0.6203612640126029,1.0,1,1.0,1.0,10238,10000.0,0,6,2,7,0.0
521399,4,1,1,4,2,4,0.7298308815593941,1.0,1,1.0,0.0,32765,12000.0,0,4,0,0,0.0
429728,3,0,1,3,2,4,0.6370447435902447,1.0,0,1.0,1.0,10238,8000.0,0,4,1,2,0.0
569640,1,1,1,1,3,4,0.59125997174597,1.0,0,0.0,1.0,10238,,0,0,0,0,0.0
980181,2,0,1,2,2,3,0.4615679630439447,1.0,0,1.0,1.0,10238,12000.0,0,0,2,1,0.0
906223,2,1,1,1,2,4,0.7627979410816134,0.0,1,1.0,0.0,10238,,0,0,0,0,0.0
517747,4,0,1,4,3,4,0.7961748462456987,1.0,0,1.0,1.0,32765,,0,10,2,1,0.0
24851,1,0,1,1,1,1,,0.0,0,1.0,0.0,32765,12000.0,0,0,0,0,1.0
104086,2,1,1,1,3,4,0.6805942795073384,1.0,0,0.0,1.0,32765,,0,0,0,0,1.0
240658,1,1,1,1,2,2,0.4177139816231188,1.0,0,0.0,1.0,10238,18000.0,0,0,0,0,1.0
484399,1,1,1,1,2,2,0.4095135306516067,0.0,0,0.0,0.0,10238,17000.0,0,0,0,0,1.0
912828,1,0,1,1,2,3,0.5532600531952381,1.0,1,1.0,1.0,32765,8000.0,0,0,0,0,1.0
892754,3,0,1,3,1,1,0.3309502618581893,1.0,0,1.0,1.0,10238,13000.0,0,3,1,1,0.0
217,1,0,1,1,1,1,,0.0,0,0.0,0.0,10238,17000.0,0,0,0,0,0.0
633896,4,0,1,4,2,4,0.5006306604427161,1.0,0,1.0,1.0,32765,7000.0,0,13,2,3,0.0
193110,2,1,1,2,3,3,0.5519701813636283,1.0,0,1.0,0.0,10238,14000.0,1,0,0,0,0.0
98515,3,0,1,2,2,3,0.6269960497386653,1.0,0,0.0,0.0,10238,13000.0,0,1,1,0,0.0
165623,2,0,1,2,1,1,0.2947974807719967,1.0,0,1.0,0.0,10238,15000.0,0,0,0,1,0.0
493590,2,0,1,2,3,3,0.5519504952618395,0.0,1,0.0,0.0,10238,17000.0,0,0,0,1,0.0
389792,4,0,1,1,3,4,0.649820471216227,1.0,1,1.0,1.0,32765,9000.0,0,0,0,0,1.0
642614,3,0,1,3,2,3,0.5218044346397632,1.0,1,1.0,1.0,92101,7000.0,0,2,0,1,0.0
951465,4,1,1,4,3,4,0.7012683240604196,1.0,0,1.0,1.0,10238,10000.0,0,3,1,1,0.0
496987,1,0,1,1,1,1,0.1712440288213211,1.0,0,1.0,1.0,10238,9000.0,0,0,0,0,0.0
732437,1,0,1,1,1,1,0.3184419972124171,1.0,0,0.0,1.0,32765,10000.0,0,0,0,0,1.0
146897,2,1,1,1,2,3,0.6046842696715551,1.0,0,1.0,1.0,21217,11000.0,0,0,0,0,1.0
316173,1,0,1,1,3,2,0.5049948526440377,0.0,1,0.0,0.0,32765,8000.0,0,0,0,0,1.0
9013,2,0,1,2,2,2,0.6251466352816216,1.0,0,0.0,1.0,10238,17000.0,0,3,0,2,0.0
511757,3,1,1,2,1,3,,1.0,0,1.0,1.0,10238,11000.0,0,2,0,1,0.0
429947,4,0,1,4,3,4,,0.0,1,0.0,1.0,10238,12000.0,1,6,0,5,0.0
485660,3,0,1,2,3,4,0.5781305873212035,1.0,0,0.0,1.0,92101,14000.0,0,1,0,1,0.0
80496,4,0,1,4,2,4,0.7054542902137054,1.0,0,1.0,1.0,10238,10000.0,0,5,1,3,0.0
478336,3,0,1,3,3,4,0.6595254905875941,1.0,1,0.0,1.0,10238,16000.0,0,4,0,2,0.0
10843,3,0,1,3,3,4,0.5873836120460223,0.0,1,1.0,1.0,32765,9000.0,0,10,2,0,0.0
397446,1,0,1,1,1,1,0.4064824253974476,0.0,0,0.0,0.0,10238,16000.0,0,0,0,0,1.0
101678,2,1,1,2,2,1,0.2857471319596469,0.0,0,0.0,1.0,10238,13000.0,0,1,0,0,1.0
231661,3,0,1,3,2,3,0.5022849652731057,0.0,0,0.0,0.0,10238,14000.0,1,3,0,4,0.0
173782,4,0,1,3,2,4,0.6256257210210231,1.0,1,1.0,1.0,10238,7000.0,0,7,0,5,0.0
921097,3,1,1,3,3,4,,1.0,1,1.0,1.0,92101,11000.0,0,3,0,2,0.0
98839,2,1,0,2,3,2,0.3931531299744003,1.0,0,0.0,1.0,32765,12000.0,0,1,0,0,0.0
105372,2,1,0,2,1,2,0.5039497598168121,0.0,0,0.0,1.0,10238,14000.0,0,1,0,0,0.0
888828,3,0,1,3,3,4,0.6586274302571438,1.0,0,1.0,0.0,10238,14000.0,0,3,0,2,0.0
37454,2,1,1,1,2,2,0.5241464657501199,0.0,0,0.0,0.0,10238,17000.0,0,0,0,0,1.0
370044,4,0,1,3,3,4,0.5531007570628673,0.0,1,1.0,1.0,32765,7000.0,0,9,0,1,0.0
768282,1,1,1,1,3,2,0.4475509489142775,0.0,0,1.0,1.0,10238,8000.0,0,0,0,0,1.0
738729,1,1,1,1,1,2,0.5107331365064207,1.0,0,1.0,1.0,10238,7000.0,0,0,0,0,1.0
437535,2,1,1,2,2,3,,1.0,1,1.0,0.0,10238,15000.0,0,0,0,0,0.0
329536,1,1,1,1,2,1,0.4613735917269193,0.0,0,0.0,0.0,32765,9000.0,0,0,0,0,1.0
328531,3,1,1,3,3,3,0.3875569443647317,0.0,1,0.0,1.0,32765,12000.0,0,2,0,1,0.0
123941,3,1,1,3,3,3,0.5701572256616224,1.0,1,1.0,1.0,10238,,0,0,0,0,0.0
131881,2,0,1,2,3,2,0.5501250875743224,1.0,0,0.0,0.0,10238,16000.0,0,0,1,0,0.0
839572,3,0,1,3,2,2,0.4529442316093683,0.0,0,1.0,1.0,10238,12000.0,0,3,0,1,0.0
171578,2,0,1,2,3,4,,1.0,0,1.0,1.0,10238,8000.0,0,2,0,1,0.0
589757,3,1,1,3,2,4,0.5352743096602144,1.0,0,1.0,1.0,92101,7000.0,0,2,0,0,0.0
336859,1,1,1,1,3,3,0.6147359485632915,1.0,0,0.0,1.0,10238,15000.0,0,0,0,0,1.0
788111,3,1,0,3,2,1,0.4544471564329259,1.0,0,1.0,1.0,10238,,0,1,0,1,0.0
407453,3,1,1,1,3,4,0.6137409183819416,1.0,0,0.0,0.0,10238,,0,0,0,0,0.0
367026,3,1,0,2,2,2,0.5326613280250595,1.0,0,1.0,1.0,10238,11000.0,0,0,0,0,0.0
334687,3,1,0,1,3,3,0.4277285143019345,1.0,0,0.0,0.0,10238,15000.0,0,0,0,0,1.0
623367,4,0,1,3,3,4,0.6859457213719147,1.0,0,1.0,1.0,32765,5000.0,0,4,1,4,0.0
688440,4,0,1,2,3,4,0.6936124267187082,1.0,0,1.0,1.0,10238,10000.0,0,2,0,0,0.0
547974,4,0,1,3,2,4,0.5979905963582334,0.0,0,1.0,1.0,10238,12000.0,0,2,1,7,1.0
989064,2,0,1,1,1,1,0.3308186664986927,0.0,1,1.0,1.0,10238,12000.0,0,0,0,0,1.0
422816,3,0,1,3,2,2,,1.0,0,0.0,0.0,10238,12000.0,0,5,0,7,0.0
307408,2,1,0,2,1,2,,1.0,0,0.0,1.0,10238,9000.0,0,2,0,0,0.0
675898,1,0,1,1,2,3,0.5083042183803546,1.0,0,0.0,1.0,10238,16000.0,0,0,0,0,0.0
480452,2,1,1,1,3,4,0.7641329165005233,1.0,0,1.0,1.0,10238,12000.0,0,0,0,0,0.0
93199,3,1,1,1,3,3,0.4775169603837716,1.0,1,1.0,1.0,10238,14000.0,0,0,0,0,0.0
125802,3,1,1,3,3,4,0.6812332078486962,1.0,0,1.0,1.0,10238,10000.0,0,0,0,1,0.0
616663,3,0,1,1,3,4,0.4671555457007022,1.0,1,0.0,0.0,10238,16000.0,0,0,0,0,0.0
423497,1,1,1,1,2,2,0.3941632454999797,1.0,0,0.0,0.0,10238,16000.0,0,0,0,0,1.0
492837,3,1,1,2,3,4,0.6610607322734078,1.0,1,1.0,1.0,10238,14000.0,0,0,0,0,0.0
422563,3,0,1,3,3,4,0.6651879748430346,0.0,0,0.0,1.0,10238,14000.0,0,2,0,1,0.0
185231,1,1,1,1,2,3,0.560770206632082,1.0,0,0.0,1.0,10238,11000.0,0,0,0,0,0.0
949152,2,1,1,2,3,4,0.7454327103696547,0.0,1,0.0,0.0,32765,9000.0,0,0,0,0,0.0
859453,2,0,1,2,3,3,0.53257435224505,1.0,0,1.0,1.0,10238,13000.0,0,1,0,2,0.0
466578,2,1,1,2,2,3,0.5267473391434415,1.0,1,0.0,1.0,10238,14000.0,0,0,0,0,0.0
998214,1,1,0,1,1,1,0.4124517461654282,0.0,0,0.0,0.0,10238,14000.0,0,0,0,0,1.0
828462,3,0,1,3,2,2,0.3871071449018297,0.0,0,0.0,1.0,10238,16000.0,0,0,0,6,0.0
511837,4,0,1,2,2,3,0.5499938678343249,1.0,0,1.0,1.0,32765,9000.0,0,3,1,1,0.0
